exp,phi_0,dV_ges,eps_0,V_dis_total,status
5mmol_30C,0.000842952,995.9094964,0.500504697,0.0023591415294496603,success
5mmol_30C,0.000709604,1004.513244,0.499650185,0.0025825213074362418,success
5mmol_30C,0.000540148,999.9576272,0.499628442,0.002833607039005846,success
5mmol_30C,0.000504717,996.0308607,0.499569918,0.00287718061577192,success
5mmol_30C,0.000450547,992.1189828,0.500293855,0.0029641349311817066,success
5mmol_30C,0.00064451,1001.651588,0.400225581,0.002054042796284571,success
5mmol_30C,0.000613794,988.5414591,0.398990122,0.0020252710677175875,success
5mmol_30C,0.00053531,999.5341136,0.399826663,0.0021855317460307703,success
5mmol_30C,0.000529787,1000.397024,0.400221829,0.0022005226406829536,success
5mmol_30C,0.000587404,991.7361678,0.297833152,0.0015361767990288134,success
5mmol_30C,0.000566957,999.2024055,0.300000414,0.0015771848333756239,success
5mmol_30C,0.000526996,998.6776181,0.299608101,0.0016046853920701838,success
5mmol_30C,0.000505023,1002.287921,0.30088995,0.0016443836252838333,success
5mmol_30C,0.000500293,997.4178367,0.29924144,0.0016234426210819186,success
5mmol_30C,0.000981831,1508.763359,0.500184752,0.005219834522115345,success
5mmol_30C,0.000951952,1502.164331,0.500044181,0.005234063793844188,success
5mmol_30C,0.000946269,1506.821222,0.500062034,0.005277737299331252,success
5mmol_30C,0.00088069,1511.65473,0.499983585,0.005448832279898096,success
5mmol_30C,0.000902724,1508.851861,0.499966566,0.005380343019751943,success
5mmol_30C,0.000901042,1502.457564,0.499958147,0.005343278038680194,success
5mmol_30C,0.000820483,1498.828806,0.399908296,0.004413526965831397,success
5mmol_30C,0.000801039,1499.690981,0.399943437,0.004454862695343245,success
5mmol_30C,0.000784024,1509.650211,0.400676776,0.004559336033556106,success
5mmol_30C,0.00074399,1500.71752,0.400084099,0.0045745900706987575,success
5mmol_30C,0.000724112,1508.852252,0.400643926,0.004676091260947866,success
5mmol_30C,0.000748112,1510.192861,0.401775903,0.004647712813332195,success
5mmol_30C,0.000658736,1499.692819,0.300100802,0.0036555607652389802,success
5mmol_30C,0.000675516,1499.784272,0.30008242,0.0036279724990721106,success
5mmol_30C,0.00061366,1500.344791,0.299896279,0.0037299991731759314,success
5mmol_30C,0.000590788,1500.030729,0.29998381,0.003775903466524053,success
5mmol_30C,0.000642928,1500.042765,0.299968969,0.0036813256859779256,success
5mmol_30C,0.000806673,1959.116691,0.499382286,0.009101440683397962,success
5mmol_30C,0.000808794,2000.733189,0.500098049,0.009463659225623637,success
5mmol_30C,0.000800771,1998.287746,0.500007382,0.009481007404523314,success
5mmol_30C,0.00080427,2003.471999,0.500126503,0.009501472962605166,success
5mmol_30C,0.000814485,2000.067507,0.499979151,0.00944307245490937,success
5mmol_30C,0.0008186,2002.114144,0.499947463,0.009444993449141795,success
5mmol_30C,0.000747254,2000.161034,0.40002526,0.008009002043569495,success
5mmol_30C,0.000722523,1999.773172,0.399954759,0.008063292698667316,success
5mmol_30C,0.000708134,1999.936531,0.399996125,0.00811145457968224,success
5mmol_30C,0.000689777,2000.057461,0.399925656,0.008163983527493715,success
5mmol_30C,0.000698869,2000.105681,0.400008829,0.00813047425082525,success
5mmol_30C,0.000729703,1711.30041,0.373198366,0.005617972256763259,success
5mmol_30C,0.000811755,1501.925813,0.500081897,0.005538532526745776,success
5mmol_30C,0.000796639,1500.334629,0.500019884,0.005560596798852852,success
5mmol_30C,0.000759009,1500.54942,0.500010124,0.00565118278250426,success
5mmol_30C,0.000750961,1745.095888,0.499998599,0.0075293497893488505,success
5mmol_30C,0.000763323,1753.050784,0.500061987,0.007560999360153359,success
5mmol_30C,0.000723707,1752.592616,0.500020691,0.007656087461544061,success
5mmol_30C,0.000701074,1997.359584,0.499814357,0.009768031020583049,success
5mmol_30C,0.000712062,2001.847182,0.500082703,0.009780988884515025,success
5mmol_30C,0.000699313,2002.089285,0.499927696,0.009843559594909134,success
5mmol_30C,0.00077305,1755.043053,0.500060052,0.0075439009532368125,success
5mmol_30C,0.00077201,1755.380838,0.5000675,0.007548353382209334,success
5mmol_30C,0.000728669,1748.347032,0.500005921,0.007611330258459293,success
5mmol_30C,0.00077559,1481.64826,0.499812721,0.005470250046208175,success
5mmol_30C,0.000763925,1499.694809,0.500032728,0.005630762492376595,success
5mmol_30C,0.000726548,1455.630583,0.496921484,0.005373475551578585,success
5mmol_30C,0.000722229,999.6381778,0.499880084,0.0025390424883465555,success
5mmol_30C,0.000712445,999.6446793,0.499913583,0.0025539904474137995,success
5mmol_30C,0.000712451,1001.908437,0.500022896,0.0025650502394354334,success
5mmol_30C,0.000734213,999.528145,0.499657125,0.002519111623100968,success
5mmol_30C,0.000745642,998.9341649,0.499917071,0.002500382474597035,success
5mmol_30C,0.000753615,1000.183129,0.500015227,0.0024981293009913373,success
5mmol_30C,0.000665051,993.5760686,0.399215879,0.001987802882319759,success
5mmol_30C,0.000633721,996.2387882,0.399066862,0.002034099807843078,success
5mmol_30C,0.000618759,996.5608034,0.399898313,0.002061063778768762,success
5mmol_30C,0.000620129,991.6847319,0.399288212,0.0020336392084282337,success
